transaction_date,expense_amt,category,sub_category,payment_method,description,
2019-08-01,1500.00,Bills,Rent,Cash,GALLARY AT DOMAIN 3000 KRAMER LN AUSTIN 78758 TX USA,
2019-08-01,320.00,Loan,Car Payment,Credit Card,AUDI FCS ST.LOUIS MO 63118 USA,
2019-08-21,4.50,Food,Snacks,Credit Card,APL CAFFE MACS AUSTIN 12545 RIATA VISTA CIRCLE AUSTIN 78727 TX USA,
2019-08-21,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA,
2019-08-22,7.57,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA,
2019-08-23,0.75,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA,
2019-08-23,41.09,Food,Grocery,Credit Card,TARGET 0002409110107 RESEARCH BLVD AUSTIN 78759 TX USA,
2019-08-24,183.02,Shopping,Accessories,Credit Card,OAKLEYOHARE107UNITETERTERMINAL 1-B CONCOURSE B CHICAGO 60666 IL USA,
2019-08-25,8.21,Food,Grocery,Credit Card,POLARDIP 916 2 BAY STRE GRAVENHURST P1P 1Z9 ON CAN,
2019-08-29,67.55,Food,Dine out,Credit Card,BOSTON PIZZA # 420 1100 BAY STREET GRAVENHURST P1P1Z9 ON CAN,
