transaction_date,expense_amt,category,sub_category,payment_method,description
2019-08-01,1500.00,Bills,Rent,Cash,GALLARY AT DOMAIN 3000 KRAMER LN AUSTIN 78758 TX USA
2019-08-01,320.00,Loan,Car Payment,Credit Card,AUDI FCS ST.LOUIS MO 63118 USA
2019-08-21,4.50,Food,Snacks,Credit Card,APL CAFFE MACS AUSTIN 12545 RIATA VISTA CIRCLE AUSTIN 78727 TX USA
2019-08-21,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
2019-08-22,7.57,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
2019-08-23,0.75,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
2019-08-23,41.09,Food,Grocery,Credit Card,TARGET 0002409110107 RESEARCH BLVD AUSTIN 78759 TX USA
2019-08-24,183.02,Shopping,Accessories,Credit Card,OAKLEYOHARE107UNITETERTERMINAL 1-B CONCOURSE B CHICAGO 60666 IL USA
2019-08-25,8.21,Food,Grocery,Credit Card,POLARDIP 916 2 BAY STRE GRAVENHURST P1P 1Z9 ON CAN
2019-08-29,67.55,Food,Dine out,Credit Card,BOSTON PIZZA # 420 1100 BAY STREET GRAVENHURST P1P1Z9 ON CAN
2019-08-30,35.31,Shopping,Clothing,Credit Card,FREE ANATOMY/BLACKWOOD123 MEDORA STREET UN PORT CARLING P0B1J0 ON CAN
2019-09-01,75.48,Entertainment,Kid Center,Credit Card,PRIDE MARINE GROUP INC1785 BEAUMONT DRIVE BRACEBRIDGE P1L 1X1 ON CAN
2019-09-01,75.48,Entertainment,Kid Center,Credit Card,PRIDE MARINE GROUP INC1785 BEAUMONT DRIVE BRACEBRIDGE P1L 1X1 ON CAN
2019-09-01,1500.00,Bills,Rent,Cash,GALLARY AT DOMAIN 3000 KRAMER LN AUSTIN 78758 TX USA
2019-09-01,320.00,Loan,Car Payment,Credit Card,AUDI FCS ST.LOUIS MO 63118 USA
2019-09-01,51.33,Entertainment,Kid Center,Credit Card,PRIDE MARINE GROUP INC1785 BEAUMONT DRIVE BRACEBRIDGE P1L 1X1 ON CAN
2019-09-03,54.02,Food,Dine out,Cash,ASIA CAFE 08-31 AUSTIN TX xxxx D EBIT CARD PURCHASE
2019-09-03,25.44,Food,Grocery,Cash,FIESTA MART #25 09-02-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
2019-09-03,121.23,Food,Grocery,Cash,H-E-B #024 09-02-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
2019-09-03,67.27,Food,Grocery,Cash,H-E-B #031 08-31-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
2019-09-03,7.87,Food,Alcohol,Cash,HYATT REGENCY AUST 08-30 AUSTIN TX xxxx DEBIT CARD PURCHASE
2019-09-03,8.50,Healthcare,Medication,Cash,WALGREENS #4134 09-02 AUSTIN TX xxxx DEBIT CARD PURCHASE
2019-09-03,8.64,Healthcare,Medication,Cash,WALGREENS STORE 11724 RES 08-30- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
2019-09-03,17.31,Bills,TV Subscription,Cash,NETFLIX.COM 09-02 NETFLIX.COM CA xxxx DEBIT CARD RECURRING PYMT
2019-09-03,1290.00,Bills,Rent,Cash,CHECK
2019-09-03,204.00,Shopping,Personal,Cash,ULTA 3 #75 08-31-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
2019-09-04,1.15,Food,Snacks,Credit Card,CMSVEND*CV AUSTIN 9210 CAMERON RD AUSTIN 78754 TX USA
2019-09-04,0.75,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
2019-09-04,1.07,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 09-03-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
2019-09-05,1.00,Food,Snacks,Credit Card,APL CAFFE MACS AUSTIN 12545 RIATA VISTA CIRCLE AUSTIN 78727 TX USA
2019-09-05,1.07,Food,Snacks,Cash,CHEVRON/EDDIE SLACK DBA 09-04-19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
2019-09-05,14.27,Healthcare,Vitamins,Cash,WALGREENS STORE 11724 RES 09-04- 19 AUSTIN TX xxxx DEBIT CARD PURCHASE-PIN
2019-09-06,4.99,Bills,Apple Services,Credit Card,APL*ITUNES.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA
2019-09-07,0.75,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
2019-09-08,141.41,Bills,Water,Credit Card,HILL COUNTRY WATER GDN1407 N BELL BLVD CEDAR PARK 78613 TX USA
2019-09-08,43.26,Shopping,DŽcor,Credit Card,PIER I 00000901727 WHITE PLAINS RD AUSTIN 78759 TX USA
2019-09-08,50.26,Food,Grocery,Credit Card,WHOLEFDS DOM # 10316 11920 DOMAIN DR AUSTIN 78758 TX USA
2019-09-09,222.06,Food,Grocery,Cash,H-E-B #024 09-08-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
2019-09-09,24.32,Food,Grocery,Cash,H-E-B GAS #024 09-08-19 AUSTIN T X xxxx DEBIT CARD PURCHASE-PIN
2019-09-09,3.67,Food,Grocery,Cash,H-E-B #024 09-08-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
2019-09-10,1.50,Food,Snacks,Credit Card,USA*CANTEEN VENDING 3410 STEEN STREET SAN ANTONIO 78210 TX USA
2019-09-10,28.46,Food,Grocery,Cash,H-E-B #031 09-09-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
2019-09-10,45.00,Entertainment,Dance lesson,Cash,SQ *CUBAN SALSA 09-09 Austin TX xxxx DEBIT CARD PURCHASE
2019-09-11,18.00,Automobile,Car Wash,Cash,PALMS CAR WASH 09-09 AUSTIN TX 7 544 DEBIT CARD PURCHASE
2019-09-11,12.94,Food,Grocery,Cash,H-E-B #024 09-10-19 AUSTIN TX 75 44 DEBIT CARD PURCHASE-PIN
